No,Nama,Rating,Comments,Link
71,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,3,battery tidak full 10.000 mah. isinya cuma kisaran 7.500 - 8.000 mah. type-c good micro usb good,https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
72,ROBOT Power Bank RT180 10000mAh Dual Input Port Type C & Micro USB,3,Barang nyampe dengan aman cuman body power bank nya kayak ktor gitu trus lem nya ngak kurang rapi,https://shopee.co.id/ROBOT-Power-Bank-RT180-10000mAh-Dual-Input-Port-Type-C-Micro-USB-Garansi-Original-Resmi-i.20355266.7652475835?sp_atk=95d4180e-6345-482a-87b2-c73d70c8177c&xptdk=95d4180e-6345-482a-87b2-c73d70c8177c
73,SNIPER Powerbank 10000 mAh Powershoot S412201 V2.0,3,Pengisiannya lama bgttttttt ... Masa dari jam setengah 8 mlm sampe jam setengah 1 pagi blm penuh2😭😭😭,https://shopee.co.id/SNIPER-Powerbank-10000-mAh-Powershoot-S412201-V2.0-i.70628431.6878631960?sp_atk=c29d0135-d5a0-4748-9a23-fdee90cd2581&xptdk=c29d0135-d5a0-4748-9a23-fdee90cd2581
74,SNIPER Powerbank 10000 mAh Powershoot S412201 V2.1,3,Batrenya gampang habis tidak sesuai dengan mah nya jelek,https://shopee.co.id/SNIPER-Powerbank-10000-mAh-Powershoot-S412201-V2.0-i.70628431.6878631960?sp_atk=c29d0135-d5a0-4748-9a23-fdee90cd2581&xptdk=c29d0135-d5a0-4748-9a23-fdee90cd2581
75,SNIPER Powerbank 10000 mAh Powershoot S412201 V2.2,3,"Sebenernya barangnya bagus, cuma pas dipakai di iphone xr aku gabisa, padahal tulisannya compatible for iphone dan android. aku coba di hp oppoku bisa. maybe cuma bisa di android aja / ios tertentu aja. Oke terimakasih ya🙏🏻",https://shopee.co.id/SNIPER-Powerbank-10000-mAh-Powershoot-S412201-V2.0-i.70628431.6878631960?sp_atk=c29d0135-d5a0-4748-9a23-fdee90cd2581&xptdk=c29d0135-d5a0-4748-9a23-fdee90cd2581
76,SNIPER Powerbank 10000 mAh Powershoot S412201 V2.3,3,Harga menentukan kualitas,https://shopee.co.id/SNIPER-Powerbank-10000-mAh-Powershoot-S412201-V2.0-i.70628431.6878631960?sp_atk=c29d0135-d5a0-4748-9a23-fdee90cd2581&xptdk=c29d0135-d5a0-4748-9a23-fdee90cd2581
77,SNIPER Powerbank 10000 mAh Powershoot S412201 V2.4,3,flight friendly,https://shopee.co.id/SNIPER-Powerbank-10000-mAh-Powershoot-S412201-V2.0-i.70628431.6878631960?sp_atk=c29d0135-d5a0-4748-9a23-fdee90cd2581&xptdk=c29d0135-d5a0-4748-9a23-fdee90cd2581
78,SNIPER Powerbank 10000 mAh Powershoot S412201 V2.5,3,"ga fastcharging, setelah pemakaian  produk beberapa minggu. sesuai harga lah",https://shopee.co.id/SNIPER-Powerbank-10000-mAh-Powershoot-S412201-V2.0-i.70628431.6878631960?sp_atk=c29d0135-d5a0-4748-9a23-fdee90cd2581&xptdk=c29d0135-d5a0-4748-9a23-fdee90cd2581
79,SNIPER Powerbank 10000 mAh Powershoot S412201 V2.6,3,Barang beda dengan yang sebelumnya ini pembelian ke 2 tapi kualitas bagusan yang pertama dan kesing nya lebih besar sedikit. kecewa tapi gpp lah thanks,https://shopee.co.id/SNIPER-Powerbank-10000-mAh-Powershoot-S412201-V2.0-i.70628431.6878631960?sp_atk=c29d0135-d5a0-4748-9a23-fdee90cd2581&xptdk=c29d0135-d5a0-4748-9a23-fdee90cd2581
80,SNIPER Powerbank 10000 mAh Powershoot S412201 V2.7,3,"pemakaian cepat habis, giliran di chas lama bngt penuh nya.",https://shopee.co.id/SNIPER-Powerbank-10000-mAh-Powershoot-S412201-V2.0-i.70628431.6878631960?sp_atk=c29d0135-d5a0-4748-9a23-fdee90cd2581&xptdk=c29d0135-d5a0-4748-9a23-fdee90cd2581
81,SNIPER Powerbank 10000 mAh Powershoot S412201 V2.8,3,"charging nya lambat, walaupun menggunakan port 2 ampere",https://shopee.co.id/SNIPER-Powerbank-10000-mAh-Powershoot-S412201-V2.0-i.70628431.6878631960?sp_atk=c29d0135-d5a0-4748-9a23-fdee90cd2581&xptdk=c29d0135-d5a0-4748-9a23-fdee90cd2581
